id,lat,lon,street,city,state
112797,36.062518,-79.105837,113 B Mayo St,Hillsborough,NC
176233,41.988082,-88.144793,1788 Lake St.,Hanover Park,IL
112060,36.750202,-76.583298,1405 North Main Street,Suffolk,VA
117822,33.997137,-86.094282,973 Gilbert Ferry Rd Se,Attalla,AL
357601,29.737549,-95.508172,7950 Westheimer,Houston,TX
177070,34.442636,-119.830673,175 N Fairview Ave,Goleta,CA
473035,36.739771,-85.207475,3131 US HIGHWAY #16,LACROSSE,WI
136695,36.725556,-121.656363,2143 N. MAIN,SALINAS,CA
120920,40.296833,-84.157931,1019 Wapakoneta Ave,Sidney,OH
139845,47.486325,-117.576652,304 1st St,Cheney,WA
156872,34.753987,-92.401593,11402 W. Markham St,Little Rock,AR
152953,32.966274,-80.167261,1575 Old Trolley Rd,Summerville,SC
109814,40.485156,-78.387154,213 Sophira Dr.,Altoona,PA
135930,33.72717,-117.887148,1406 West Edinger Avenue,Santa Ana,CA
1122298,47.777809,-122.341759,7929 Lake Ballinger Way,Edmonds,WA
341693,34.864084,-92.128231,1800 School Drive,Jacksonville,AR
165077,36.116296,-115.279043,4035 S Durango Blvd,Las Vegas,NV
350009,41.047809,-85.166584,3607 BLUFFTON RD,FORT WAYNE,IN
126773,32.518746,-93.740464,435 Boardwalk Blvd.,Bossier City,LA
151176,27.584076,-81.514554,1020 US Highway 27 S,Avon Park,FL
123340,41.577584,-90.528612,5811 Elmore Ave,Davenport,IA
353286,41.939265,-88.11244,369 W Army Trail Rd,Bloomingdale,IL
154340,42.214795,-121.757171,1613 WASHBURN WAY,KLAMATH FALLS,OR
107253,40.765707,-73.981941,1755 Broadway,Manhattan,NY
139098,47.678362,-122.191152,529 Parkplace Center,Kirkland,WA
157333,32.868892,-96.675154,12000 MCCREE Rd,DALLAS,TX
156879,41.484647,-81.703767,1958 W. 25th St,Cleveland,OH
119908,39.96255,-82.997881,100 E Broad St,Columbus,OH
136040,33.879501,-117.924361,1010 N Harbor Blvd,Fullerton,CA
153455,39.854853,-75.032748,101 S. WARWICK Rd,MAGNOLIA,NJ
396626,40.731236,-74.035502,100 14th St,Jersey City,NJ
373498,38.189041,-120.00185,Pinecrest Plaza #5,Southern Pines,NC
155284,43.887938,-94.157564,156 E. Maine St,Amboy,MN
126048,37.839542,-97.371778,110 E. 5TH,VALLEY CENTER,KS
154588,31.684364,-92.135763,3148 W. OAK St,JENA,LA
112870,36.107771,-79.827789,2618 BATTLEGROUND AVE,GREENSBORO,NC
347483,35.087503,-85.189754,4735 Hwy 58,Chattanooga,TN
137947,38.646055,-121.119398,2495 Iron Point Road,Folsom,CA
157618,43.753252,-88.450378,20 W. Pioneer Rd,Fond Du Lac,WI
149048,30.785621,-83.554742,100 E. STEVENS,QUITMAN,GA
361157,33.840651,-118.184728,4520 ATLANTIC AVE,LONG BEACH,CA
